Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
426.02144,C00008,M-H[-],8.31,0.000683533230017019,EC0001
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
96.96954,C00009,M-H[-],11.309,8.35332300113123e-05,EC0002
